date	Air Bombardment	Artillery	Asphyxiation	Beating or Stabbing	Burned	Chemical	Crushed	Execution	Gun Shot	Mine	Missiles	Other	Refusal to Follow Orders	Resource Outage	Sniper	Stress	Torture	Unspecified	Wounds
2011-05-01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.892307692308	0.0	0.0	0.0	0.0615384615385	0.0	0.0307692307692	0.0	0.0153846153846	0.0	0.0
2011-05-02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
2011-05-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
2011-05-04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0
2011-05-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-05-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.697674418605	0.0	0.0	0.0	0.302325581395	0.0	0.0	0.0	0.0	0.0	0.0
2011-05-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.642857142857	0.0	0.0	0.0	0.0714285714286	0.0	0.0714285714286	0.0	0.214285714286	0.0	0.0
2011-05-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.916666666667	0.0	0.0	0.0	0.0416666666667	0.0	0.0	0.0	0.0416666666667	0.0	0.0
2011-05-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.25	0.0	0.0
2011-05-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.941176470588	0.0	0.0	0.0	0.0588235294118	0.0	0.0	0.0	0.0	0.0	0.0
2011-05-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.964285714286	0.0	0.0	0.0	0.0	0.0	0.0357142857143	0.0	0.0	0.0	0.0
2011-05-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0
2011-05-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.857142857143	0.0	0.0	0.0	0.0714285714286	0.0	0.0714285714286	0.0	0.0	0.0	0.0
2011-05-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.888888888889	0.0	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0
